2025-12-11 11:00:39,646 INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-12-11 11:00:39,702 INFO  com.Proyecto_JS.ProyectoJS.ProyectoJsApplication - Starting ProyectoJsApplication using Java 21 with PID 10420 (C:\Users\israe\OneDrive\Pictures\GIT BIBLIO ISRA\SistemaDeComercializacionConManejoDeSucursales\ProyectoBIB\target\classes started by israe in C:\Users\israe\OneDrive\Pictures\GIT BIBLIO ISRA\SistemaDeComercializacionConManejoDeSucursales)
2025-12-11 11:00:39,703 INFO  com.Proyecto_JS.ProyectoJS.ProyectoJsApplication - No active profile set, falling back to 1 default profile: "default"
2025-12-11 11:00:39,747 INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-12-11 11:00:39,747 INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-12-11 11:00:40,642 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-12-11 11:00:40,824 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 174 ms. Found 14 JPA repository interfaces.
2025-12-11 11:00:41,651 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-12-11 11:00:41,666 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-12-11 11:00:41,668 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-11 11:00:41,669 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.33]
2025-12-11 11:00:41,738 INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-11 11:00:41,739 INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1990 ms
